cell_id,x,y,z,n_counts,n_genes,sample_id,annotation_level_1,annotation_level_1_corr,annotation_level_2,annotation_level_2_corr,annotation_level_3,annotation_level_3_corr,celltype_original,celltype_original_corr,cell_type,cell_type_corr
aaaelpak-1,752.4842042352941,8119.904876705882,15.7807955,425,96,10x,Non-neoplastic,0.056783189347423144,Myeloid,0.06576467922498248,TAM-MG,0.07296946509189525,CD4 CTL,0.11164936661291475,microglial cell,0.07296946509189525
aaaenbgh-1,772.0120339779005,8221.605660220994,16.337495817679557,181,56,10x,Neoplastic,0.08719852929034096,Differentiated-like,0.08884978968501361,Mast,0.14578028671194307,Dividing Progenitor,0.1394403408455391,mast cell,0.14578028671194307
aaaenlei-1,792.9233446575342,8172.681798972602,15.832787767123289,292,90,10x,Non-neoplastic,0.026334156061715647,Lymphoid,0.06932249295831694,NK,0.07718996700267088,Cycling T cells,0.0919887651454451,natural killer cell,0.07718996700267088
aaaenmfi-1,766.7449459652928,8170.226289370932,15.903082023861172,461,97,10x,Non-neoplastic,0.0945259998058453,Lymphoid,0.1125253160406661,NK,0.11612417227449141,T cells 2,0.1354162789606487,natural killer cell,0.11612417227449141
aaaeoeai-1,808.6101124324324,8219.852297297297,16.338413783783782,37,18,10x,Neoplastic,0.055434453310675647,Differentiated-like,0.06330412682282162,MES-like,0.07330328063875179,CD4+,0.08587487116634866,mural cell,0.05548424082681897
aaafdihb-1,790.1566744444444,8154.966912077294,16.003440582125606,207,72,10x,Non-neoplastic,0.08347237409249803,Lymphoid,0.08113249700023589,Mono,0.16142461501546013,Tumor Associated Macrophage,0.17568586090333668,monocyte,0.16142461501546013
aaafebgl-1,752.37350896,8065.6117336,15.3511427,125,56,10x,Neoplastic,-0.043197840036675116,Lymphoid,0.029197238323365706,Mast,0.10715950192735224,Mast cells,0.14386802560884007,mast cell,0.10715950192735224
aaafgkbf-1,764.9094875789474,8059.097260350878,15.673587328070177,285,90,10x,Neoplastic,0.03237013456831388,Stem-like,0.03854506813189863,B cell,0.06414630677967287,Mono 1,0.09945464457612366,B cell,0.06414630677967287
aaafkjpc-1,781.5465083298539,8057.794292693111,15.33312696033403,479,100,10x,Non-neoplastic,0.014921731471018038,Lymphoid,0.04200186082203804,NK,0.060512894866200574,Treg,0.09311720105356604,natural killer cell,0.060512894866200574
aaafkpan-1,765.2070551384616,8049.107423076924,16.937218915384616,325,91,10x,Non-neoplastic,0.002977853196821521,Lymphoid,0.07178301993991397,CD4/CD8,0.07376899854763835,Red blood cells,0.10923919783199897,mature T cell,0.07376899854763835
